t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0119,0,approach,-80.0,12.2,5.438,5.169,16.0,0.0,0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-99.858,-100.0,8.0,0.0,-0.0,31.0,-80.267,-80.0,-16.0,0.0,-0.0,31.0,-90.311,-90.311,0.0,0.0,0.285,30.0,31.22,31.22,0.0,0.0,0.0,31.0,40.619,40.825,-8.0,0.0,-0.0,32.0
0.0404,0,approach,-80.0,12.2,5.438,5.169,16.0,0.0,0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-99.858,-100.0,8.0,0.0,-0.0,31.0,-80.267,-80.0,-16.0,0.0,-0.0,31.0,-90.311,-90.311,0.0,0.0,0.139,30.0,31.22,31.22,0.0,0.0,0.0,31.0,40.619,40.825,-8.0,0.0,-0.0,32.0
0.0936,0,approach,-80.0,12.2,5.438,5.169,16.0,0.0,0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-99.858,-100.0,8.0,0.0,-0.0,31.0,-80.267,-80.0,-16.0,0.0,-0.0,31.0,-90.311,-90.311,0.0,0.0,0.068,30.0,31.22,31.22,0.0,0.0,0.0,31.0,40.619,40.825,-8.0,0.0,-0.0,32.0
0.1467,0,approach,-80.0,12.2,5.438,5.169,16.0,0.0,0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-99.858,-100.0,8.0,0.0,-0.0,31.0,-80.267,-80.0,-16.0,0.0,-0.0,31.0,-90.311,-90.311,0.0,0.0,0.033,30.0,31.22,31.22,0.0,0.0,0.0,31.0,40.619,40.825,-8.0,0.0,-0.0,32.0
0.1996,0,approach,-80.0,12.2,5.438,5.169,16.0,0.0,0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-99.858,-100.0,8.0,0.0,-0.0,31.0,-80.267,-80.0,-16.0,0.0,-0.0,31.0,-90.311,-90.311,0.0,0.0,0.016,30.0,31.22,31.22,0.0,0.0,0.0,31.0,40.619,40.825,-8.0,0.0,-0.0,32.0
0.2522,0,approach,-80.0,12.2,5.438,5.169,16.0,0.0,0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-99.858,-100.0,8.0,0.0,-0.0,31.0,-80.267,-80.0,-16.0,0.0,-0.0,31.0,-90.311,-90.311,0.0,0.0,0.011,30.0,31.22,31.22,0.0,0.0,0.0,31.0,40.619,40.825,-8.0,0.0,-0.0,32.0
0.3054,0,approach,-80.0,12.2,5.438,5.169,16.0,0.0,0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-99.858,-100.0,8.0,0.0,-0.0,31.0,-80.267,-80.0,-16.0,0.0,-0.0,31.0,-90.311,-90.311,0.0,0.0,0.008,30.0,31.22,31.22,0.0,0.0,0.0,31.0,40.619,40.825,-8.0,0.0,-0.0,32.0
0.3587,0,approach,-80.0,12.2,5.438,5.169,16.0,0.0,0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-99.858,-100.0,8.0,0.0,-0.0,31.0,-80.267,-80.0,-16.0,0.0,-0.0,31.0,-90.311,-90.311,0.0,0.0,0.004,30.0,31.22,31.22,0.0,0.0,0.0,31.0,40.619,40.825,-8.0,0.0,-0.0,32.0
0.412,0,approach,-80.0,12.2,5.438,5.169,16.0,0.0,0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-99.858,-100.0,8.0,0.0,-0.0,31.0,-80.267,-80.0,-16.0,0.0,-0.0,31.0,-90.311,-90.311,0.0,0.0,0.002,30.0,31.22,31.22,0.0,0.0,0.0,31.0,40.619,40.825,-8.0,0.0,-0.0,32.0
0.4653,0,approach,-80.0,12.2,5.438,5.169,16.0,0.0,0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-99.858,-100.0,8.0,0.0,-0.0,31.0,-80.267,-80.0,-16.0,0.0,-0.0,31.0,-90.311,-90.311,0.0,0.0,0.001,30.0,31.22,31.22,0.0,0.0,0.0,31.0,40.619,40.825,-8.0,0.0,-0.0,32.0
