t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_out,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_out,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_out,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_out,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_out,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_out,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_out,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0269,0,approach,-90.0,12.2,5.169,5.4,5.4,-8.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-91.867,-92.0,-92.0,8.0,0.0,-0.0,42.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,9.756,9.756,9.756,0.0,0.0,-0.0,32.0,23.093,23.299,23.299,-8.0,0.0,0.0,33.0
0.026,0,approach,-90.0,12.2,5.169,5.4,5.4,-8.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-91.867,-90.0,-91.865,8.0,0.0,-0.0,42.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,9.756,9.756,9.756,0.0,0.0,-0.0,32.0,23.093,23.299,23.299,-8.0,0.0,0.0,33.0
0.0791,0,approach,-90.0,12.2,5.169,5.4,5.4,-8.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-91.867,-90.0,-91.599,8.0,0.0,-0.0,42.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,9.756,9.756,9.756,0.0,0.0,-0.0,32.0,23.093,23.299,23.299,-8.0,0.0,0.0,33.0
0.1324,0,approach,-90.0,12.2,5.169,5.4,5.4,-8.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-91.733,-90.0,-91.466,-8.0,0.0,1.494,42.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,9.756,9.756,9.756,0.0,0.0,-0.0,32.0,23.093,23.299,23.299,-8.0,0.0,0.0,33.0
0.1854,0,approach,-90.0,12.2,5.169,5.4,5.4,-8.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-91.467,-90.0,-91.048,-8.0,0.0,1.717,42.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,9.756,9.756,9.756,0.0,0.0,-0.0,32.0,23.093,23.299,23.299,-8.0,0.0,0.0,33.0
0.2385,0,approach,-90.0,12.2,5.169,5.4,5.4,-8.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-91.333,-90.0,-90.78,-8.0,0.0,1.886,42.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,9.756,9.756,9.756,0.0,0.0,-0.0,32.0,23.093,23.299,23.299,-8.0,0.0,0.0,33.0
0.2925,0,approach,-90.0,12.2,5.169,5.4,5.4,-8.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-90.933,-90.0,-90.512,-8.0,0.0,4.492,42.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,9.756,9.756,9.756,0.0,0.0,-0.0,32.0,23.093,23.299,23.299,-8.0,0.0,0.0,33.0
0.345,0,approach,-90.0,12.2,5.169,5.4,5.4,-8.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-90.667,-90.0,-90.24,-8.0,0.0,4.718,42.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,9.756,9.756,9.756,0.0,0.0,-0.0,32.0,23.093,23.299,23.299,-8.0,0.0,0.0,33.0
0.398,0,approach,-90.0,12.2,5.169,5.4,5.4,-8.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-90.4,-90.0,-90.0,-8.0,0.0,4.842,42.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,9.756,9.756,9.756,0.0,0.0,-0.0,32.0,23.093,23.299,23.299,-8.0,0.0,0.0,33.0
0.4515,0,approach,-90.0,12.2,5.169,5.4,5.4,-8.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-90.267,-90.0,-90.0,-8.0,0.0,3.878,42.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,9.756,9.756,9.756,0.0,0.0,-0.0,32.0,23.093,23.299,23.299,-8.0,0.0,0.0,33.0
