t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_i,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_i,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_i,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_i,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_i,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_i,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_i,wrist_pitch_qd,wrist_pitch_temp
-0.0312,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-82.533,-82.533,0.0,0.0,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,29.0
0.0209,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-82.533,-80.0,0.0,0.0,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,29.0
0.0744,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-82.533,-80.0,0.0,0.0,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,29.0
0.1278,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-82.4,-80.0,0.0,1.473,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,29.0
0.1818,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-82.133,-80.0,0.0,3.138,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,29.0
0.2351,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-81.733,-80.0,0.0,5.142,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,29.0
0.2884,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-81.6,-80.0,1.0,5.094,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.3414,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-81.067,-80.0,1.0,5.556,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.3944,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.8,-80.0,1.0,5.264,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.4474,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,1.0,5.103,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.5007,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,1.0,2.5,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.5532,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,1.0,1.225,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.6066,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,1.0,0.6,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.6596,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,1.0,0.294,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.7134,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,1.0,0.144,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.7667,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,1.0,0.071,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.8189,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,1.0,0.035,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.8723,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,2.0,0.024,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.9255,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,2.0,0.012,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
0.9785,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,2.0,0.006,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.0307,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,2.0,0.003,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.0829,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,2.0,0.001,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.1361,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,2.0,0.001,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.1892,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,2.0,0.0,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.2424,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,2.0,0.0,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.2953,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-80.0,2.0,0.0,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.3482,1,fwd,-30.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-30.0,2.0,0.0,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.4012,1,fwd,-30.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.533,-30.0,3.0,0.0,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.4541,1,fwd,-30.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.267,-30.0,3.0,2.025,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.5071,1,fwd,-30.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-80.133,-30.0,3.0,2.877,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.5607,1,fwd,-30.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-79.733,-30.0,3.0,5.35,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.6144,1,fwd,-30.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-79.467,-30.0,3.0,5.056,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
1.6674,1,fwd,-30.0,12.2,5.169,5.169,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-100.0,-100.0,0.0,0.0,29.0,-79.067,-30.0,3.0,5.892,28.0,-90.311,-90.311,0.0,0.0,28.0,31.22,31.22,0.0,0.0,29.0,41.237,41.237,0.0,0.0,30.0
