t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_i,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_i,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_i,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_i,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_i,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_i,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_i,wrist_pitch_qd,wrist_pitch_temp
-0.0057,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.0486,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.1019,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.1553,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.2078,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.261,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.3149,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.3682,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.4213,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.4744,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.5267,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.581,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.6342,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.6873,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.7406,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.7939,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
0.8471,0,approach,-80.0,12.2,5.169,5.169,0.0,0.0,30.0,-100.0,-100.0,-16.0,0.0,30.0,-100.0,-100.0,-8.0,0.0,30.0,-80.0,-80.0,0.0,0.0,29.0,-90.311,-90.311,0.0,0.0,29.0,31.22,31.22,0.0,0.0,29.0,41.031,41.031,0.0,0.0,30.0
