t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0435,0,approach,-95.0,12.2,5.169,5.169,0.0,0.0,-0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-80.267,-80.0,-16.0,0.0,-0.0,32.0,-90.311,-90.311,0.0,0.0,0.0,31.0,31.22,31.22,0.0,0.0,-0.0,31.0,40.619,40.825,-8.0,0.0,0.0,33.0
0.0094,0,approach,-95.0,12.2,5.169,5.169,0.0,0.0,-0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-80.267,-95.0,-16.0,0.0,-0.0,32.0,-90.311,-90.311,0.0,0.0,0.0,31.0,31.22,31.22,0.0,0.0,-0.0,31.0,40.619,40.825,-8.0,0.0,0.0,33.0
0.0616,0,approach,-95.0,12.2,5.169,5.169,0.0,0.0,-0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-80.267,-95.0,-16.0,0.0,-0.0,32.0,-90.311,-90.311,0.0,0.0,0.0,31.0,31.22,31.22,0.0,0.0,-0.0,31.0,40.619,40.825,-8.0,0.0,0.0,33.0
0.1152,0,approach,-95.0,12.2,5.169,5.169,0.0,0.0,-0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-80.533,-95.0,-16.0,0.0,-2.995,32.0,-90.311,-90.311,0.0,0.0,0.0,31.0,31.22,31.22,0.0,0.0,-0.0,31.0,40.619,40.825,-8.0,0.0,0.0,33.0
0.1676,0,approach,-95.0,12.2,5.169,5.169,0.0,0.0,-0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-80.8,-95.0,-16.0,0.0,-4.024,32.0,-90.311,-90.311,0.0,0.0,0.0,31.0,31.22,31.22,0.0,0.0,-0.0,31.0,40.619,40.825,-8.0,0.0,0.0,33.0
0.2206,0,approach,-95.0,12.2,5.169,5.169,0.0,0.0,-0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-81.067,-95.0,-16.0,0.0,-4.526,32.0,-90.311,-90.311,0.0,0.0,0.0,31.0,31.22,31.22,0.0,0.0,-0.0,31.0,40.619,40.825,-8.0,0.0,0.0,33.0
0.2745,0,approach,-95.0,12.2,5.169,5.169,0.0,0.0,-0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-81.333,-95.0,-16.0,0.0,-4.768,32.0,-90.311,-90.311,0.0,0.0,0.0,31.0,31.22,31.22,0.0,0.0,-0.0,31.0,40.619,40.825,-8.0,0.0,0.0,33.0
0.3273,0,approach,-95.0,12.2,5.169,5.169,0.0,0.0,-0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-81.6,-95.0,-16.0,0.0,-4.888,32.0,-90.311,-90.311,0.0,0.0,0.0,31.0,31.22,31.22,0.0,0.0,-0.0,31.0,40.619,40.825,-8.0,0.0,0.0,33.0
0.3805,0,approach,-95.0,12.2,5.169,5.169,0.0,0.0,-0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-81.867,-95.0,-16.0,0.0,-4.893,32.0,-90.311,-90.311,0.0,0.0,0.0,31.0,31.22,31.22,0.0,0.0,-0.0,31.0,40.619,40.825,-8.0,0.0,0.0,33.0
0.4327,0,approach,-95.0,12.2,5.169,5.169,0.0,0.0,-0.0,31.0,-100.0,-100.0,-8.0,0.0,0.0,31.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-82.0,-95.0,-16.0,0.0,-3.43,32.0,-90.311,-90.311,0.0,0.0,0.0,31.0,31.22,31.22,0.0,0.0,-0.0,31.0,40.619,40.825,-8.0,0.0,0.0,33.0
