t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_out,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_out,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_out,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_out,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_out,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_out,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_out,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0304,0,approach,-44.9,12.0,5.169,5.1,5.1,0.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,-88.133,-88.0,-88.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,9.268,9.756,9.756,-8.0,0.0,-2.672,30.0,23.093,23.299,23.299,-8.0,0.0,-0.016,30.0
0.0225,0,approach,-44.9,12.0,5.169,-44.9,4.994,0.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,-88.133,-88.0,-88.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,9.756,9.756,9.756,-8.0,0.0,0.493,30.0,23.299,23.299,23.299,-8.0,0.0,2.311,30.0
0.0753,0,approach,-44.9,12.0,5.079,-44.9,4.78,0.0,0.0,-1.015,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,-88.133,-88.0,-88.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,9.756,9.756,9.756,-8.0,0.0,0.241,30.0,23.299,23.299,23.299,-8.0,0.0,1.133,30.0
0.1281,0,approach,-44.9,12.0,4.989,-44.9,4.567,0.0,0.0,-1.204,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,-88.133,-88.0,-88.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,9.756,9.756,9.756,-8.0,0.0,0.118,30.0,23.299,23.299,23.299,-8.0,0.0,0.555,30.0
0.1809,0,approach,-44.9,12.0,4.719,-44.9,4.354,0.0,0.0,-3.333,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,-88.133,-88.0,-88.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,9.756,9.756,9.756,-8.0,0.0,0.058,30.0,23.299,23.299,23.299,-8.0,0.0,0.272,30.0
0.2337,0,approach,-44.9,12.0,4.629,-44.9,4.141,0.0,0.0,-3.341,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,-88.133,-88.0,-88.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,9.756,9.756,9.756,-8.0,0.0,0.041,30.0,23.299,23.299,23.299,-8.0,0.0,0.19,30.0
0.2867,0,approach,-44.9,12.0,4.449,-44.9,3.917,0.0,0.0,-3.289,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,-88.133,-88.0,-88.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,9.756,9.756,9.756,-8.0,0.0,0.02,30.0,23.299,23.299,23.299,-8.0,0.0,0.093,30.0
0.3397,0,approach,-44.9,12.0,4.09,-44.9,3.693,0.0,0.0,-5.299,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,-88.133,-88.0,-88.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,9.756,9.756,9.756,-8.0,0.0,0.01,30.0,23.299,23.299,23.299,-8.0,0.0,0.046,30.0
0.3929,0,approach,-44.9,12.0,3.82,-44.9,3.586,0.0,0.0,-5.014,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,-88.133,-88.0,-88.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,9.756,9.756,9.756,-8.0,0.0,0.005,30.0,23.299,23.299,23.299,-8.0,0.0,0.022,30.0
0.4456,0,approach,-44.9,12.0,3.64,-44.9,3.361,0.0,0.0,-4.109,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,-88.133,-88.0,-88.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,9.756,9.756,9.756,-8.0,0.0,0.002,30.0,23.299,23.299,23.299,-8.0,0.0,0.011,30.0
0.4994,0,approach,-44.9,12.0,3.461,-44.9,3.148,0.0,0.0,-4.031,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,-88.133,-88.0,-88.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,29.0,9.756,9.756,9.756,-8.0,0.0,0.001,30.0,23.093,23.299,23.299,-8.0,0.0,-1.626,30.0
