t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_out,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_out,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_out,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_out,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_out,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_out,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_out,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0418,0,approach,-90.0,12.0,5.618,5.4,5.4,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,31.0,-99.858,-100.0,-100.0,8.0,0.0,0.0,32.0,-1.2,0.0,0.0,-72.0,9.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,30.0,10.244,9.756,9.756,8.0,0.0,-0.0,31.0,23.093,23.299,23.299,-8.0,0.0,-0.0,32.0
0.0109,0,approach,-90.0,12.0,5.618,-90.0,5.294,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,31.0,-99.858,-100.0,-100.0,8.0,0.0,0.0,32.0,-1.2,0.0,0.0,-72.0,9.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,30.0,10.244,9.756,9.756,8.0,0.0,-0.0,31.0,23.093,23.299,23.299,-8.0,0.0,-0.0,32.0
0.0639,0,approach,-90.0,12.0,5.618,-90.0,5.079,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,31.0,-99.858,-100.0,-100.0,8.0,0.0,0.0,32.0,-1.2,0.0,0.0,-72.0,9.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,30.0,10.244,9.756,9.756,8.0,0.0,-0.0,31.0,23.093,23.299,23.299,-8.0,0.0,-0.0,32.0
0.1172,0,approach,-90.0,12.0,5.528,-90.0,4.842,36.0,1.0,-0.916,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-99.858,-100.0,-100.0,8.0,0.0,0.0,32.0,-1.2,0.0,0.0,-72.0,11.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,30.0,10.244,9.756,9.756,8.0,0.0,-0.0,31.0,23.093,23.299,23.299,-8.0,0.0,-0.0,32.0
0.1705,0,approach,-90.0,12.0,5.528,-90.0,4.629,36.0,1.0,-0.449,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-99.858,-100.0,-100.0,8.0,0.0,0.0,32.0,-1.2,0.0,0.0,-72.0,11.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,30.0,10.244,9.756,9.756,8.0,0.0,-0.0,31.0,23.093,23.299,23.299,-8.0,0.0,-0.0,32.0
0.2227,0,approach,-90.0,12.0,5.169,-90.0,4.521,36.0,1.0,-3.333,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-99.858,-100.0,-100.0,8.0,0.0,0.0,32.0,-1.2,0.0,0.0,-72.0,11.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,30.0,10.244,9.756,9.756,8.0,0.0,-0.0,31.0,23.093,23.299,23.299,-8.0,0.0,-0.0,32.0
0.2761,0,approach,-90.0,12.0,4.899,-90.0,4.299,36.0,1.0,-3.957,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-100.0,-100.0,-100.0,8.0,0.0,-1.04,32.0,-1.2,0.0,0.0,-72.0,11.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,30.0,10.244,9.756,9.756,8.0,0.0,-0.0,31.0,23.093,23.299,23.299,-8.0,0.0,-0.0,32.0
0.3296,0,approach,-90.0,12.0,4.719,-90.0,4.086,36.0,1.0,-3.65,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-100.0,-100.0,-100.0,8.0,0.0,-0.51,32.0,-1.2,0.0,0.0,-72.0,11.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,30.0,10.244,9.756,9.756,8.0,0.0,-0.0,31.0,23.093,23.299,23.299,-8.0,0.0,-0.0,32.0
0.3829,0,approach,-90.0,12.0,4.449,-90.0,3.872,36.0,1.0,-4.508,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-100.0,-100.0,-100.0,8.0,0.0,-0.25,32.0,-1.2,0.0,0.0,-72.0,11.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,30.0,10.244,9.756,9.756,8.0,0.0,-0.0,31.0,23.093,23.299,23.299,-8.0,0.0,-0.0,32.0
0.4363,0,approach,-90.0,12.0,4.18,-90.0,3.657,36.0,1.0,-4.929,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,31.0,-100.0,-100.0,-100.0,8.0,0.0,-0.122,32.0,-1.2,0.0,0.0,-72.0,11.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,30.0,10.244,9.756,9.756,8.0,0.0,-0.0,31.0,23.093,23.299,23.299,-8.0,0.0,-0.0,32.0
