t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_out,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_out,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_out,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_out,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_out,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_out,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_out,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0372,0,approach,-85.0,11.9,5.528,5.3,5.3,8.0,0.0,0.036,31.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-46.8,-45.0,-45.0,-104.0,18.0,0.0,36.0,-96.401,-96.263,-96.263,0.0,0.0,-0.371,30.0,8.78,8.78,8.78,0.0,0.0,-0.0,30.0,6.598,6.804,6.804,-8.0,0.0,-0.0,30.0
0.0165,0,approach,-85.0,11.9,5.528,-85.0,5.3,8.0,0.0,0.018,31.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-46.8,-45.0,-45.0,-104.0,18.0,0.0,36.0,-96.332,-96.263,-96.263,0.0,0.0,0.368,30.0,9.268,8.78,8.78,0.0,0.0,5.451,30.0,6.598,6.804,6.804,-8.0,0.0,-0.0,30.0
0.0688,0,approach,-85.0,11.9,5.438,-85.0,5.086,8.0,0.0,-1.002,31.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-46.8,-45.0,-45.0,-104.0,18.0,0.0,36.0,-96.332,-96.263,-96.263,0.0,0.0,0.18,30.0,9.268,8.78,8.78,0.0,0.0,2.671,30.0,6.598,6.804,6.804,-8.0,0.0,-0.0,30.0
0.1222,0,approach,-85.0,11.9,5.348,-85.0,4.873,8.0,0.0,-1.505,31.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-46.8,-45.0,-45.0,-104.0,18.0,0.0,36.0,-96.332,-96.263,-96.263,0.0,0.0,0.088,30.0,9.268,8.78,8.78,0.0,0.0,1.309,30.0,6.598,6.804,6.804,-8.0,0.0,-0.0,30.0
0.1747,0,approach,-85.0,11.9,5.169,-85.0,4.766,36.0,0.0,-3.102,31.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-46.8,-45.0,-45.0,-104.0,21.0,0.0,36.0,-96.332,-96.263,-96.263,0.0,0.0,0.062,30.0,9.268,8.78,8.78,8.0,0.0,0.916,30.0,6.598,6.804,6.804,-8.0,0.0,-0.0,30.0
0.2279,0,approach,-85.0,11.9,4.899,-85.0,4.435,36.0,0.0,-3.205,31.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-46.8,-45.0,-45.0,-104.0,21.0,0.0,36.0,-96.401,-96.263,-96.263,0.0,0.0,-0.227,30.0,8.78,8.78,8.78,8.0,0.0,-1.365,30.0,6.598,6.804,6.804,-8.0,0.0,-0.0,30.0
0.2811,0,approach,-85.0,11.9,4.719,-85.0,4.222,36.0,0.0,-2.984,31.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-46.8,-45.0,-45.0,-104.0,21.0,0.0,36.0,-96.332,-96.263,-96.263,0.0,0.0,0.433,30.0,8.78,8.78,8.78,8.0,0.0,-0.669,30.0,6.598,6.804,6.804,-8.0,0.0,-0.0,30.0
0.3336,0,approach,-85.0,11.9,4.449,-85.0,4.009,36.0,0.0,-4.185,31.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-46.8,-45.0,-45.0,-104.0,21.0,0.0,36.0,-96.332,-96.263,-96.263,0.0,0.0,0.212,30.0,8.78,8.78,8.78,8.0,0.0,-0.328,30.0,6.598,6.804,6.804,-8.0,0.0,-0.0,30.0
0.387,0,approach,-85.0,11.9,4.18,-85.0,3.795,36.0,0.0,-4.797,31.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-46.8,-45.0,-45.0,-104.0,21.0,0.0,36.0,-96.332,-96.263,-96.263,0.0,0.0,0.104,30.0,8.78,8.78,8.78,8.0,0.0,-0.161,30.0,6.598,6.804,6.804,-8.0,0.0,-0.0,30.0
0.4401,0,approach,-85.0,11.9,4.0,-85.0,3.584,36.0,0.0,-4.081,31.0,-100.0,-100.0,-100.0,-8.0,0.0,0.0,30.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,30.0,-46.8,-45.0,-45.0,-104.0,21.0,0.0,36.0,-96.332,-96.263,-96.263,0.0,0.0,0.051,30.0,8.78,8.78,8.78,8.0,0.0,-0.079,30.0,6.598,6.804,6.804,-8.0,0.0,-0.0,30.0
