t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_out,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_out,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_out,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_out,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_out,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_out,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_out,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0414,0,approach,-90.0,12.2,5.258,5.4,5.4,0.0,0.0,-0.0,34.0,-90.09,-90.0,-90.0,0.0,0.0,0.0,35.0,-99.716,-100.0,-100.0,16.0,0.0,-0.0,33.0,-87.6,-88.0,-88.0,24.0,1.0,-0.0,40.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.0118,0,approach,-90.0,12.2,5.258,5.4,5.4,0.0,0.0,-0.0,34.0,-90.09,-90.0,-90.0,0.0,0.0,0.0,35.0,-99.716,-100.0,-100.0,16.0,0.0,-0.0,33.0,-87.6,-88.0,-88.0,24.0,1.0,-0.0,40.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.0649,0,approach,-90.0,12.2,5.258,5.4,5.4,0.0,0.0,-0.0,34.0,-90.27,-90.0,-90.0,0.0,0.0,-2.032,35.0,-99.716,-100.0,-100.0,16.0,0.0,-0.0,33.0,-87.6,-88.0,-88.0,24.0,1.0,-0.0,40.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.118,0,approach,-90.0,12.2,5.258,5.4,5.4,0.0,0.0,-0.0,34.0,-90.27,-90.0,-90.0,0.0,0.0,-1.422,35.0,-99.716,-100.0,-100.0,16.0,0.0,-0.0,33.0,-87.6,-88.0,-88.0,24.0,1.0,-0.0,40.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.1702,0,approach,-90.0,12.2,5.258,5.4,5.4,0.0,0.0,-0.0,34.0,-90.09,-90.0,-90.0,-8.0,0.0,-0.093,35.0,-99.716,-100.0,-100.0,16.0,0.0,-0.0,33.0,-87.6,-88.0,-88.0,24.0,1.0,-0.0,40.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.2248,0,approach,-90.0,12.2,5.258,5.4,5.4,0.0,0.0,-0.0,34.0,-90.09,-90.0,-90.0,-8.0,0.0,-0.045,35.0,-99.716,-100.0,-100.0,16.0,0.0,-0.0,33.0,-87.6,-88.0,-88.0,24.0,1.0,-0.0,40.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.2783,0,approach,-90.0,12.2,5.258,5.4,5.4,0.0,0.0,-0.0,34.0,-90.09,-90.0,-90.0,-8.0,0.0,-0.022,35.0,-99.716,-100.0,-100.0,16.0,0.0,-0.0,33.0,-87.6,-88.0,-88.0,24.0,1.0,-0.0,40.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.332,0,approach,-90.0,12.2,5.258,5.4,5.4,0.0,0.0,-0.0,34.0,-90.09,-90.0,-90.0,-8.0,0.0,-0.011,35.0,-99.716,-100.0,-100.0,16.0,0.0,-0.0,33.0,-87.6,-88.0,-88.0,24.0,1.0,-0.0,40.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.3856,0,approach,-90.0,12.2,5.258,5.4,5.4,0.0,0.0,-0.0,34.0,-90.09,-90.0,-90.0,-8.0,0.0,-0.005,35.0,-99.716,-100.0,-100.0,16.0,0.0,-0.0,33.0,-87.6,-88.0,-88.0,24.0,1.0,-0.0,40.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.4388,0,approach,-90.0,12.2,5.258,5.4,5.4,0.0,0.0,-0.0,34.0,-90.09,-90.0,-90.0,-8.0,0.0,-0.003,35.0,-99.716,-100.0,-100.0,16.0,0.0,-0.0,33.0,-87.6,-88.0,-88.0,24.0,1.0,-0.0,40.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
