t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_out,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_out,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_out,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_out,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_out,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_out,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_out,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0168,0,approach,-90.0,12.2,5.528,5.4,5.4,8.0,0.0,-0.0,34.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,34.0,-99.716,-100.0,-100.0,16.0,0.0,-0.0,33.0,-65.467,-65.0,-65.0,-24.0,1.0,-0.0,41.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-33.196,-33.196,-33.196,0.0,0.0,-0.0,34.0
0.036,0,approach,-90.0,12.2,5.528,5.4,5.4,8.0,0.0,-0.0,34.0,-100.0,-90.0,-99.748,0.0,0.0,-0.0,34.0,-99.716,-100.0,-100.0,16.0,1.0,-0.0,34.0,-65.467,-65.0,-65.0,-24.0,1.0,-0.0,41.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-33.196,-33.196,-33.196,0.0,0.0,-0.0,34.0
0.0891,0,approach,-90.0,12.2,5.528,5.4,5.4,8.0,0.0,-0.0,34.0,-100.0,-90.0,-99.524,0.0,0.0,-0.0,34.0,-99.716,-100.0,-100.0,16.0,1.0,-0.0,34.0,-65.467,-65.0,-65.0,-24.0,1.0,-0.0,41.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-33.196,-33.196,-33.196,0.0,0.0,-0.0,34.0
0.1417,0,approach,-90.0,12.2,5.528,5.4,5.4,8.0,0.0,-0.0,34.0,-100.0,-90.0,-99.406,0.0,0.0,-0.0,34.0,-99.716,-100.0,-100.0,16.0,1.0,-0.0,34.0,-65.467,-65.0,-65.0,-24.0,1.0,-0.0,41.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-33.196,-33.196,-33.196,0.0,0.0,-0.0,34.0
0.1954,0,approach,-90.0,12.2,5.528,5.4,5.4,8.0,0.0,-0.0,34.0,-99.64,-90.0,-99.183,0.0,0.0,2.612,34.0,-99.716,-100.0,-100.0,16.0,1.0,-0.0,34.0,-65.467,-65.0,-65.0,-24.0,1.0,-0.0,41.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-33.196,-33.196,-33.196,0.0,0.0,-0.0,34.0
0.2486,0,approach,-90.0,12.2,5.528,5.4,5.4,8.0,0.0,-0.0,34.0,-99.459,-90.0,-98.963,0.0,0.0,3.308,34.0,-99.716,-100.0,-100.0,16.0,1.0,-0.0,34.0,-65.467,-65.0,-65.0,-24.0,1.0,-0.0,41.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-33.196,-33.196,-33.196,0.0,0.0,-0.0,34.0
0.3015,0,approach,-90.0,12.2,5.528,5.4,5.4,8.0,0.0,-0.0,34.0,-99.279,-90.0,-98.75,0.0,0.0,3.048,34.0,-99.716,-100.0,-100.0,16.0,1.0,-0.0,34.0,-65.467,-65.0,-65.0,-24.0,1.0,-0.0,41.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-33.196,-33.196,-33.196,0.0,0.0,-0.0,34.0
0.354,0,approach,-90.0,12.2,5.528,5.4,5.4,8.0,0.0,-0.0,34.0,-99.099,-90.0,-98.535,0.0,0.0,2.888,34.0,-99.716,-100.0,-100.0,16.0,1.0,-0.0,34.0,-65.467,-65.0,-65.0,-24.0,1.0,-0.0,41.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,0.0,0.0,2.287,34.0
0.4066,0,approach,-90.0,12.2,5.528,5.4,5.4,8.0,0.0,-0.0,34.0,-98.739,-90.0,-98.32,0.0,0.0,4.833,34.0,-99.716,-100.0,-100.0,16.0,1.0,-0.0,34.0,-65.467,-65.0,-65.0,-24.0,1.0,-0.0,41.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,0.0,0.0,1.121,34.0
0.4587,0,approach,-90.0,12.2,5.528,5.4,5.4,8.0,0.0,-0.0,34.0,-98.559,-90.0,-98.104,0.0,0.0,4.401,34.0,-99.716,-100.0,-100.0,16.0,1.0,-0.0,34.0,-65.467,-65.0,-65.0,-24.0,1.0,-0.0,41.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,33.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,0.0,0.0,0.549,34.0
