t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_out,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_out,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_out,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_out,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_out,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_out,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_out,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0445,0,approach,-65.0,12.2,5.348,5.4,5.4,0.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,33.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,33.0,-84.8,-85.0,-85.0,16.0,1.0,-0.0,48.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,32.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.0078,0,approach,-65.0,12.2,5.348,5.4,5.4,0.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,33.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,33.0,-84.8,-65.0,-85.0,16.0,1.0,-0.0,48.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,32.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.06,0,approach,-65.0,12.2,5.348,5.4,5.4,0.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,33.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,33.0,-84.8,-65.0,-84.676,16.0,1.0,-0.0,48.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,32.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.1134,0,approach,-65.0,12.2,5.348,5.4,5.4,0.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,33.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,33.0,-84.8,-65.0,-84.339,16.0,1.0,-0.0,48.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,32.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.1672,0,approach,-65.0,12.2,5.348,5.4,5.4,0.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,33.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,33.0,-84.533,-65.0,-84.157,16.0,1.0,2.944,48.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,32.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.2212,0,approach,-65.0,12.2,5.348,5.4,5.4,0.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,33.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-84.4,-65.0,-83.975,4.0,0.0,3.384,48.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,32.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.2734,0,approach,-65.0,12.2,5.348,5.4,5.4,0.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,33.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-84.0,-65.0,-83.474,4.0,0.0,3.138,48.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,32.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.3266,0,approach,-65.0,12.2,5.348,5.4,5.4,0.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,33.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-83.867,-65.0,-83.155,4.0,0.0,2.593,48.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,32.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.3789,0,approach,-65.0,12.2,5.348,5.4,5.4,0.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,33.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-83.333,-65.0,-82.833,4.0,0.0,6.375,48.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,32.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
0.4308,0,approach,-65.0,12.2,5.348,5.4,5.4,0.0,0.0,-0.0,35.0,-100.0,-100.0,-100.0,-8.0,0.0,-0.0,33.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-83.067,-65.0,-82.515,4.0,0.0,5.678,48.0,-95.017,-95.017,-95.017,0.0,0.0,-0.0,32.0,-69.756,-70.244,-70.244,8.0,0.0,-0.0,34.0,-32.99,-33.196,-33.196,8.0,0.0,0.0,34.0
