t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_out,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_out,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_out,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_out,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_out,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_out,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_out,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0101,0,approach,-65.0,12.1,5.618,5.4,5.4,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-99.858,-100.0,-100.0,8.0,0.0,-0.0,33.0,-1.733,0.0,0.0,-104.0,17.0,-0.0,39.0,-100.0,-100.0,-100.0,-16.0,0.0,-0.0,31.0,10.244,9.756,9.756,8.0,0.0,-0.0,32.0,22.887,23.299,23.299,-16.0,0.0,-0.0,32.0
0.0431,0,approach,-65.0,12.1,5.618,5.4,5.4,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-99.858,-100.0,-100.0,8.0,0.0,-0.0,33.0,-1.733,-65.0,-0.176,-104.0,17.0,-0.0,39.0,-100.0,-100.0,-100.0,-16.0,0.0,-0.0,31.0,10.244,9.756,9.756,8.0,0.0,-0.0,32.0,22.887,23.299,23.299,-16.0,0.0,-0.0,32.0
0.0965,0,approach,-65.0,12.1,5.618,5.4,5.4,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-99.858,-100.0,-100.0,8.0,0.0,-0.0,33.0,-1.733,-65.0,-0.498,-104.0,17.0,-0.0,39.0,-100.0,-100.0,-100.0,-16.0,0.0,-0.0,31.0,10.244,9.756,9.756,8.0,0.0,-0.0,32.0,22.887,23.299,23.299,-16.0,0.0,-0.0,32.0
0.149,0,approach,-65.0,12.1,5.618,5.4,5.4,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-99.858,-100.0,-100.0,8.0,0.0,-0.0,33.0,-2.133,-65.0,-0.816,-104.0,17.0,-3.629,39.0,-100.0,-100.0,-100.0,-16.0,0.0,-0.0,31.0,10.244,9.756,9.756,8.0,0.0,-0.0,32.0,22.887,23.299,23.299,-16.0,0.0,-0.0,32.0
0.2026,0,approach,-65.0,12.1,5.618,5.4,5.4,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-99.858,-100.0,-100.0,8.0,0.0,-0.0,33.0,-2.4,-65.0,-1.135,-104.0,17.0,-4.765,39.0,-100.0,-100.0,-100.0,-16.0,0.0,-0.0,31.0,10.244,9.756,9.756,8.0,0.0,-0.0,32.0,22.887,23.299,23.299,-16.0,0.0,-0.0,32.0
0.255,0,approach,-65.0,12.1,5.618,5.4,5.4,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-99.858,-100.0,-100.0,8.0,0.0,-0.0,33.0,-2.8,-65.0,-1.298,-88.0,13.0,-7.747,39.0,-100.0,-100.0,-100.0,-16.0,1.0,-0.0,31.0,10.244,9.756,9.756,8.0,0.0,-0.0,32.0,22.887,23.299,23.299,-16.0,0.0,-0.0,32.0
0.3084,0,approach,-65.0,12.1,5.618,5.4,5.4,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-99.858,-100.0,-100.0,8.0,0.0,-0.0,33.0,-2.933,-65.0,-1.808,-88.0,13.0,-5.268,39.0,-100.0,-100.0,-100.0,-16.0,1.0,-0.0,31.0,10.244,9.756,9.756,8.0,0.0,-0.0,32.0,22.887,23.299,23.299,-16.0,0.0,-0.0,32.0
0.3608,0,approach,-65.0,12.1,5.618,5.4,5.4,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-99.858,-100.0,-100.0,8.0,0.0,-0.0,33.0,-3.467,-65.0,-2.128,-88.0,13.0,-7.71,39.0,-100.0,-100.0,-100.0,-16.0,1.0,-0.0,31.0,10.244,9.756,9.756,8.0,0.0,-0.0,32.0,22.887,23.299,23.299,-16.0,0.0,-0.0,32.0
0.4128,0,approach,-65.0,12.1,5.618,5.4,5.4,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-99.858,-100.0,-100.0,8.0,0.0,-0.0,33.0,-3.6,-65.0,-2.45,-88.0,13.0,-4.835,39.0,-100.0,-100.0,-100.0,-16.0,1.0,-0.0,31.0,10.244,9.756,9.756,8.0,0.0,-0.0,32.0,22.887,23.299,23.299,-16.0,0.0,-0.0,32.0
0.4672,0,approach,-65.0,12.1,5.618,5.4,5.4,16.0,0.0,0.0,37.0,-100.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-99.858,-100.0,-100.0,8.0,0.0,-0.0,33.0,-4.133,-65.0,-2.772,-88.0,13.0,-7.412,39.0,-100.0,-100.0,-100.0,-16.0,1.0,-0.0,31.0,10.244,9.756,9.756,8.0,0.0,-0.0,32.0,22.887,23.299,23.299,-16.0,0.0,-0.0,32.0
