t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0247,0,approach,-95.0,12.1,5.079,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,-0.0,32.0,-90.732,-95.0,72.0,9.0,-0.0,33.0,-94.227,-95.0,32.0,2.0,-0.0,34.0
0.0279,0,approach,-95.0,12.1,5.079,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-95.0,0.0,0.0,-0.0,32.0,-90.732,-95.0,72.0,9.0,-0.0,33.0,-94.227,-95.0,32.0,2.0,-0.0,34.0
0.0812,0,approach,-95.0,12.1,5.079,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.45,-95.0,0.0,0.0,-1.562,32.0,-90.732,-95.0,72.0,9.0,-0.0,33.0,-94.227,-95.0,32.0,2.0,-0.0,34.0
0.1336,0,approach,-95.0,12.1,5.079,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.657,-95.0,0.0,0.0,-2.836,32.0,-90.732,-95.0,72.0,9.0,-0.0,33.0,-94.227,-95.0,32.0,2.0,-0.0,34.0
0.1873,0,approach,-95.0,12.1,5.079,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.934,-95.0,16.0,1.0,-3.37,32.0,-90.732,-95.0,72.0,11.0,-0.0,33.0,-94.227,-95.0,32.0,2.0,-0.0,34.0
0.2398,0,approach,-95.0,12.1,5.079,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-91.142,-95.0,16.0,1.0,-3.746,32.0,-90.732,-95.0,72.0,11.0,-0.0,33.0,-94.227,-95.0,32.0,2.0,-0.0,34.0
0.2927,0,approach,-95.0,12.1,5.169,5.079,0.0,0.0,0.709,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-91.419,-95.0,16.0,1.0,-4.479,32.0,-90.732,-95.0,72.0,11.0,-0.0,33.0,-94.227,-95.0,32.0,2.0,-0.0,34.0
0.3461,0,approach,-95.0,12.1,5.169,5.079,0.0,0.0,0.347,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-91.765,-95.0,16.0,1.0,-5.619,32.0,-90.732,-95.0,72.0,11.0,-0.0,33.0,-94.227,-95.0,32.0,2.0,-0.0,34.0
0.3991,0,approach,-95.0,12.1,5.169,5.079,0.0,0.0,0.17,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-92.042,-95.0,16.0,1.0,-5.642,32.0,-90.732,-95.0,72.0,11.0,-0.0,33.0,-94.227,-95.0,32.0,2.0,-0.0,34.0
0.4516,0,approach,-95.0,12.1,5.169,5.079,0.0,0.0,0.083,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-92.249,-95.0,16.0,1.0,-4.849,32.0,-90.732,-95.0,72.0,11.0,-0.0,33.0,-94.227,-95.0,32.0,2.0,-0.0,34.0
