t,cycle,leg,target,volt,shoulder_pitch_q,shoulder_pitch_cmd,shoulder_pitch_i,shoulder_pitch_cur,shoulder_pitch_qd,shoulder_pitch_temp,shoulder_yaw_q,shoulder_yaw_cmd,shoulder_yaw_i,shoulder_yaw_cur,shoulder_yaw_qd,shoulder_yaw_temp,shoulder_roll_q,shoulder_roll_cmd,shoulder_roll_i,shoulder_roll_cur,shoulder_roll_qd,shoulder_roll_temp,elbow_flex_q,elbow_flex_cmd,elbow_flex_i,elbow_flex_cur,elbow_flex_qd,elbow_flex_temp,wrist_roll_q,wrist_roll_cmd,wrist_roll_i,wrist_roll_cur,wrist_roll_qd,wrist_roll_temp,wrist_yaw_q,wrist_yaw_cmd,wrist_yaw_i,wrist_yaw_cur,wrist_yaw_qd,wrist_yaw_temp,wrist_pitch_q,wrist_pitch_cmd,wrist_pitch_i,wrist_pitch_cur,wrist_pitch_qd,wrist_pitch_temp
-0.0266,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,31.22,31.22,0.0,0.0,0.0,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
0.0264,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,31.22,-95.0,0.0,0.0,0.0,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
0.0797,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,31.22,-95.0,0.0,0.0,0.0,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
0.1331,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,30.732,-95.0,0.0,0.0,-5.49,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
0.1858,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,30.732,-95.0,0.0,0.0,-2.69,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
0.2399,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,30.244,-95.0,0.0,0.0,-6.771,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
0.2923,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,30.244,-95.0,0.0,0.0,-3.318,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
0.3458,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,30.244,-95.0,8.0,0.0,-2.322,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
0.3989,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,29.756,-95.0,8.0,0.0,-4.915,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
0.4522,0,approach,-95.0,12.2,5.169,5.079,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-100.0,-100.0,0.0,0.0,-0.0,32.0,-93.2,-93.2,0.0,0.0,-0.0,34.0,-90.311,-90.311,0.0,0.0,0.0,32.0,29.268,-95.0,8.0,0.0,-7.853,32.0,-93.196,-95.0,72.0,8.0,-0.0,34.0
